menu_id,name,provider_id,position
1000712,Soups,1000087,1
1000713,Picked for you,1000057,1
1000714,Sandwiches,1000007,1
1000715,Full Dish,1000064,1
1000716,Picked for you,1000052,1
1000717,Entrees,1000052,1
1000718,Pita Bread Specialties,1000052,1
1000719,Picked for you,1000062,1
1000720,Wraps,1000084,1
1000721,From The Grill,1000052,1
1000722,Fresh Starts,1000105,1
1000723,Poultry,1000101,1
1000724,The Classics,1000054,1
1000725,Starters,1000026,1
1000726,Picked for you,1000051,1
1000727,Set Courses,1000073,1
1000728,Tandoori (Sizzler),1000038,1
1000729,Picked for you,1000064,1
1000730,Main Dishes,1000064,1
1000731,Chicken Specialities,1000038,1
1000732,Side Orders,1000104,1
1000733,Lunch Plates,1000064,1
1000734,Appetizer,1000001,1
1000735,Cuisine Ramen,1000040,1
1000736,"Personal ""Fowl""",1000092,1
1000737,Combos,1000084,1
1000738,Chickpeas,1000084,1
1000739,Chef's Special,1000010,1
1000740,Chef Specials,1000050,1
1000741,Fish Hakka Chinese,1000038,1
1000742,Prawns / Shrimp,1000038,1
1000743,Pounds of Fries,1000033,1
1000744,Sidekicks,1000077,1
1000745,Sauces,1000087,1
1000746,Bowls & Dons,1000024,1
1000747,Beverage,1000088,1
1000748,French Toast,1000074,1
1000749,Happy Endings,1000076,1
1000750,Baked Goods,1000036,1
1000751,Kids Meals,1000080,1
1000752,Sides,1000077,1
1000753,Desserts,1000102,1
1000754,Dessert,1000101,1
1000755,Chocolate,1000019,1
1000756,Beverages,1000074,1
1000757,Shakes,1000013,1
1000758,Slush and Smoothie,1000019,1
1000759,Desserts,1000004,1
1000760,Side Orders,1000050,1
1000761,Picked for you,1000018,1
